name;open;high;low;close;volume;marketCap;timestamp
"2781";65913.828990193;65973.1288270583;65824.134061019;65970.8513019966;31170812192.06;1303560993999.27;"2024-09-28T01:00:00.000Z"
"2781";65970.2601661949;66190.8984235948;65932.3151398595;66187.1871520759;31108579936.92;1307867161625.66;"2024-09-28T02:00:00.000Z"
"2781";66188.1017852539;66255.5318744588;66000.2143930283;66079.9857025992;30727899786.89;1305737342256.37;"2024-09-28T03:00:00.000Z"
"2781";66080.2430307058;66103.4718857125;65989.3855910685;66027.9686383322;30245812341.72;1304712106602.72;"2024-09-28T04:00:00.000Z"
"2781";66028.2881348524;66039.077577055;65935.0095111088;65973.8729547635;29862266650.09;1303573191604.62;"2024-09-28T05:00:00.000Z"
"2781";65970.5970150379;65976.3034964287;65770.2419573883;65805.9516614075;29102806769.48;1300474738045.16;"2024-09-28T06:00:00.000Z"
"2781";65813.7486880721;65904.7424316232;65779.5234067903;65848.2872049003;28123789227.23;1301146370114.35;"2024-09-28T07:00:00.000Z"
"2781";65847.6783113366;65848.3023038944;65628.8339790237;65655.759003132;27367906330.36;1297355302983.05;"2024-09-28T08:00:00.000Z"
"2781";65656.8572785178;65657.249541591;65487.8804842576;65628.7105942353;26593735827.75;1296822665054.99;"2024-09-28T09:00:00.000Z"
"2781";65630.0846494411;65782.6056320589;65591.8591215125;65769.6121612941;25936420061.31;1299608128233.68;"2024-09-28T10:00:00.000Z"
"2781";65772.2455359261;65812.5085782918;65716.4592521345;65792.3502518608;25442282627.81;1300058694073.11;"2024-09-28T11:00:00.000Z"
"2781";65792.3508040125;65806.5397979527;65462.1638375417;65548.6069805243;24416377865.19;1295227954653.13;"2024-09-28T12:00:00.000Z"
"2781";65547.7976022192;65621.6738047267;65458.034501538;65547.6806106797;23420287703.66;1295166295700.05;"2024-09-28T13:00:00.000Z"
"2781";65544.6772182264;65818.910374631;65537.8959716226;65724.6058233982;20530400752.72;1298742294824.06;"2024-09-28T14:00:00.000Z"
"2781";65725.5552152877;65740.326923463;65628.8257217758;65635.5366574247;19121218091.57;1296931890269.71;"2024-09-28T15:00:00.000Z"
"2781";65633.9359271709;65676.056329401;65519.8576816712;65551.5837800294;17924694976.44;1295200874453.86;"2024-09-28T16:00:00.000Z"
"2781";65546.2845147034;65722.0490277532;65521.8320350464;65640.1299700088;16749225900.12;1296987186909.35;"2024-09-28T17:00:00.000Z"
"2781";65636.6213915931;65829.8796509504;65634.7075103803;65736.6995042135;16319046382.73;1298998540136.66;"2024-09-28T18:00:00.000Z"
"2781";65738.3467205566;65780.4009665974;65705.8036350572;65733.4739557173;15803729726.98;1298883826643.22;"2024-09-28T19:00:00.000Z"
"2781";65732.5314416196;65788.0881301397;65648.9181900101;65652.2628628006;15240947603.03;1297299152878.74;"2024-09-28T20:00:00.000Z"
"2781";65650.6737880771;65696.8809282097;65459.3063550339;65664.1171732019;15273615470.48;1297529979704.26;"2024-09-28T21:00:00.000Z"
"2781";65663.8911196009;65776.7722549924;65606.5269220615;65715.1260454793;15226229545.63;1298539759729.61;"2024-09-28T22:00:00.000Z"
"2781";65714.9629643935;65955.8755898005;65622.5166567704;65887.6487821282;15243637983.9;1301977287120.42;"2024-09-28T23:00:00.000Z"
"2781";65880.3536356125;65969.353884581;65770.7941668547;65770.7941668547;0;0;"2024-09-29T00:00:00Z"
